Category,Description,Amount,Date
healthcare,doctor's office visit,655.36,2021-05-28
healthcare,blood test labcorp,497.66,2020-03-02
healthcare,physiotherapy session,638.13,2022-05-21
healthcare,doctor's office visit,981.11,2023-12-07
healthcare,cvs pharmacy purchase,475.34,2022-11-12
healthcare,therapist consultation,502.34,2020-09-21
healthcare,health insurance premium,746.06,2024-08-29
healthcare,health insurance premium,855.87,2023-12-15
healthcare,therapist consultation,569.06,2020-07-13
healthcare,physiotherapy session,26.6,2022-04-13
healthcare,therapist consultation,503.33,2024-08-19
healthcare,doctor's office visit,50.36,2022-05-31
healthcare,physiotherapy session,559.35,2020-07-05
healthcare,therapist consultation,345.79,2022-09-22
healthcare,dentist cleaning appointment,723.92,2022-09-09
healthcare,vaccination clinic fee,429.39,2024-08-08
healthcare,vaccination clinic fee,194.44,2023-11-16
healthcare,cvs pharmacy purchase,747.75,2023-02-12
healthcare,blood test labcorp,131.23,2020-08-22
healthcare,physiotherapy session,730.25,2023-05-05
healthcare,dentist cleaning appointment,478.08,2023-11-03
healthcare,chiropractor spinal adjustment,733.5,2023-09-05
healthcare,physiotherapy session,213.85,2023-01-12
healthcare,doctor's office visit,563.26,2021-09-27
healthcare,therapist consultation,84.92,2021-02-22
healthcare,health insurance premium,414.96,2021-09-27
healthcare,vaccination clinic fee,324.57,2023-04-03
healthcare,doctor's office visit,994.34,2022-02-07
healthcare,walgreens vitamin c,724.12,2021-02-14
healthcare,vaccination clinic fee,234.8,2022-04-01
healthcare,walgreens vitamin c,358.28,2021-05-06
healthcare,health insurance premium,335.92,2021-09-08
healthcare,therapist consultation,382.97,2022-10-13
healthcare,doctor's office visit,829.58,2020-10-30
healthcare,therapist consultation,567.11,2020-03-23
healthcare,physiotherapy session,764.48,2024-09-17
healthcare,health insurance premium,374.23,2020-06-13
healthcare,dentist cleaning appointment,513.03,2024-03-09
healthcare,chiropractor spinal adjustment,637.5,2020-03-31
healthcare,physiotherapy session,867.62,2021-02-12
healthcare,health insurance premium,809.08,2021-08-21
healthcare,walgreens vitamin c,772.77,2023-06-11
healthcare,physiotherapy session,177.67,2021-11-22
healthcare,dentist cleaning appointment,67.49,2021-06-08
healthcare,optometrist eye exam,511.77,2022-06-02
healthcare,walgreens vitamin c,614.29,2023-09-02
healthcare,walgreens vitamin c,762.76,2021-11-01
healthcare,vaccination clinic fee,785.14,2023-05-01
healthcare,chiropractor spinal adjustment,619.62,2021-11-10
healthcare,chiropractor spinal adjustment,79.23,2023-11-17
healthcare,urgent care copay,917.02,2021-08-21
healthcare,walgreens vitamin c,769.4,2021-10-08
healthcare,cvs pharmacy purchase,608.1,2021-08-12
healthcare,cvs pharmacy purchase,205.79,2023-11-19
healthcare,vaccination clinic fee,49.96,2020-09-30
healthcare,cvs pharmacy purchase,188.3,2020-01-08
healthcare,optometrist eye exam,28.13,2023-01-01
healthcare,health insurance premium,620.37,2023-09-03
healthcare,cvs pharmacy purchase,130.17,2024-09-15
healthcare,vaccination clinic fee,975.44,2022-12-23
healthcare,doctor's office visit,172.9,2024-05-01
healthcare,blood test labcorp,535.58,2023-03-05
healthcare,physiotherapy session,598.64,2023-09-19
healthcare,walgreens vitamin c,641.25,2020-11-29
healthcare,blood test labcorp,821.75,2023-06-05
healthcare,urgent care copay,533.89,2022-04-07
healthcare,dentist cleaning appointment,519.67,2024-06-22
healthcare,dentist cleaning appointment,112.05,2020-09-19
healthcare,doctor's office visit,725.07,2020-05-30
healthcare,cvs pharmacy purchase,740.03,2021-06-14
healthcare,vaccination clinic fee,577.1,2020-08-24
healthcare,urgent care copay,750.52,2022-11-09
healthcare,cvs pharmacy purchase,260.34,2022-06-22
healthcare,vaccination clinic fee,353.76,2022-09-16
healthcare,doctor's office visit,349.41,2020-06-25
healthcare,vaccination clinic fee,522.2,2024-09-12
healthcare,chiropractor spinal adjustment,374.04,2020-09-03
healthcare,chiropractor spinal adjustment,931.78,2023-07-19
healthcare,vaccination clinic fee,779.57,2020-06-18
healthcare,health insurance premium,894.15,2022-09-19
healthcare,health insurance premium,275.0,2024-12-01
healthcare,vaccination clinic fee,674.07,2020-11-12
healthcare,blood test labcorp,496.42,2024-09-18
healthcare,doctor's office visit,448.48,2021-09-25
healthcare,cvs pharmacy purchase,978.01,2020-04-04
healthcare,health insurance premium,800.02,2022-03-03
healthcare,cvs pharmacy purchase,280.98,2023-04-18
healthcare,doctor's office visit,920.48,2024-08-10
healthcare,physiotherapy session,377.72,2021-03-28
healthcare,walgreens vitamin c,640.89,2020-04-30
healthcare,doctor's office visit,152.73,2023-06-17
healthcare,doctor's office visit,625.48,2024-02-06
healthcare,physiotherapy session,75.77,2020-06-13
healthcare,health insurance premium,850.88,2024-07-03
healthcare,physiotherapy session,656.24,2022-08-04
healthcare,health insurance premium,59.2,2020-11-01
healthcare,optometrist eye exam,990.27,2020-08-02
healthcare,vaccination clinic fee,443.04,2022-06-05
healthcare,cvs pharmacy purchase,473.97,2022-11-11
healthcare,vaccination clinic fee,165.76,2021-08-31
healthcare,physiotherapy session,381.79,2020-10-30
healthcare,blood test labcorp,509.76,2020-09-04
healthcare,urgent care copay,250.68,2023-08-10
healthcare,dentist cleaning appointment,614.42,2024-07-02
healthcare,dentist cleaning appointment,453.28,2022-11-17
healthcare,chiropractor spinal adjustment,605.82,2023-09-04
healthcare,vaccination clinic fee,937.8,2020-06-22
healthcare,walgreens vitamin c,68.32,2022-03-16
healthcare,health insurance premium,348.31,2021-12-13
healthcare,urgent care copay,938.08,2022-01-23
healthcare,urgent care copay,139.95,2022-11-16
healthcare,health insurance premium,446.18,2022-06-08
healthcare,dentist cleaning appointment,83.1,2021-09-03
healthcare,optometrist eye exam,799.76,2022-11-22
healthcare,physiotherapy session,480.11,2022-01-09
healthcare,blood test labcorp,520.1,2022-02-15
healthcare,vaccination clinic fee,214.82,2022-02-18
healthcare,urgent care copay,124.36,2021-04-21
healthcare,physiotherapy session,291.16,2024-03-29
healthcare,walgreens vitamin c,972.42,2022-02-20
healthcare,therapist consultation,391.77,2021-10-30
healthcare,chiropractor spinal adjustment,924.61,2022-04-26
healthcare,dentist cleaning appointment,92.95,2021-03-18
healthcare,blood test labcorp,507.12,2023-03-13
healthcare,blood test labcorp,864.77,2024-09-06
healthcare,chiropractor spinal adjustment,152.89,2021-10-03
healthcare,doctor's office visit,459.37,2022-03-26
healthcare,doctor's office visit,891.38,2021-03-30
healthcare,health insurance premium,963.21,2024-07-03
healthcare,vaccination clinic fee,863.75,2024-10-20
healthcare,vaccination clinic fee,86.84,2020-04-07
healthcare,blood test labcorp,528.49,2024-07-30
healthcare,therapist consultation,259.92,2021-06-22
healthcare,doctor's office visit,112.5,2020-05-18
healthcare,health insurance premium,307.73,2022-01-04
healthcare,dentist cleaning appointment,780.02,2022-01-23
healthcare,optometrist eye exam,755.8,2023-01-19
healthcare,doctor's office visit,654.88,2020-04-27
healthcare,urgent care copay,262.68,2020-05-31
healthcare,dentist cleaning appointment,368.6,2021-12-26
healthcare,chiropractor spinal adjustment,945.59,2020-05-21
healthcare,urgent care copay,708.53,2023-05-22
healthcare,cvs pharmacy purchase,317.5,2021-05-24
healthcare,health insurance premium,966.16,2022-02-10
healthcare,chiropractor spinal adjustment,825.56,2020-10-17
healthcare,therapist consultation,883.33,2023-07-29
healthcare,chiropractor spinal adjustment,891.95,2023-01-10
healthcare,dentist cleaning appointment,295.01,2024-10-26
healthcare,walgreens vitamin c,607.46,2023-02-01
healthcare,chiropractor spinal adjustment,215.12,2021-07-09
healthcare,doctor's office visit,455.16,2023-03-19
healthcare,doctor's office visit,253.51,2020-12-15
healthcare,physiotherapy session,945.5,2020-12-15
healthcare,vaccination clinic fee,609.85,2024-02-13
healthcare,optometrist eye exam,324.02,2022-05-03
healthcare,health insurance premium,946.2,2020-06-02
healthcare,health insurance premium,718.23,2023-12-19
healthcare,dentist cleaning appointment,533.08,2020-09-11
healthcare,therapist consultation,270.07,2020-07-08
healthcare,health insurance premium,337.3,2024-06-04
healthcare,vaccination clinic fee,792.08,2023-09-14
healthcare,urgent care copay,898.84,2023-03-11
healthcare,urgent care copay,509.43,2020-07-02
healthcare,walgreens vitamin c,791.2,2024-12-14
healthcare,chiropractor spinal adjustment,582.42,2021-03-08
healthcare,vaccination clinic fee,611.57,2022-03-02
healthcare,therapist consultation,405.29,2024-04-05
healthcare,therapist consultation,233.17,2024-12-24
healthcare,physiotherapy session,193.78,2020-10-30
healthcare,health insurance premium,503.78,2020-09-27
healthcare,walgreens vitamin c,843.55,2022-05-04
healthcare,chiropractor spinal adjustment,890.62,2021-09-11
healthcare,walgreens vitamin c,509.25,2024-09-30
healthcare,cvs pharmacy purchase,953.63,2024-09-27
healthcare,optometrist eye exam,251.51,2021-06-17
healthcare,health insurance premium,863.19,2024-02-08
healthcare,therapist consultation,765.91,2024-09-27
healthcare,dentist cleaning appointment,895.1,2024-10-05
healthcare,doctor's office visit,642.77,2023-04-26
healthcare,vaccination clinic fee,591.08,2022-12-07
healthcare,dentist cleaning appointment,930.7,2022-08-02
healthcare,urgent care copay,221.51,2021-04-05
healthcare,vaccination clinic fee,283.68,2021-02-11
healthcare,walgreens vitamin c,88.27,2024-02-26
healthcare,vaccination clinic fee,236.75,2024-07-21
healthcare,optometrist eye exam,503.56,2023-05-25
healthcare,doctor's office visit,154.99,2023-10-18
healthcare,blood test labcorp,858.35,2024-07-30
healthcare,health insurance premium,295.13,2024-11-05
healthcare,cvs pharmacy purchase,735.41,2024-11-09
healthcare,therapist consultation,9.66,2024-04-16
healthcare,blood test labcorp,223.83,2020-10-30
healthcare,dentist cleaning appointment,636.12,2022-11-19
healthcare,dentist cleaning appointment,317.02,2023-05-05
healthcare,dentist cleaning appointment,685.18,2023-08-23
healthcare,urgent care copay,100.05,2020-03-28
healthcare,dentist cleaning appointment,637.46,2021-03-21
healthcare,chiropractor spinal adjustment,84.4,2023-12-08
healthcare,health insurance premium,180.33,2023-01-05
healthcare,vaccination clinic fee,64.61,2024-07-31
healthcare,vaccination clinic fee,373.17,2020-01-19
healthcare,chiropractor spinal adjustment,489.52,2023-12-19
healthcare,optometrist eye exam,893.26,2024-02-24
healthcare,blood test labcorp,660.0,2020-07-06
healthcare,chiropractor spinal adjustment,110.88,2021-12-10
healthcare,doctor's office visit,800.81,2022-06-02
healthcare,optometrist eye exam,505.71,2020-02-17
healthcare,dentist cleaning appointment,866.01,2024-04-10
healthcare,therapist consultation,972.01,2020-09-27
healthcare,doctor's office visit,835.58,2020-04-03
healthcare,doctor's office visit,922.84,2023-08-24
healthcare,doctor's office visit,299.74,2024-03-29
healthcare,therapist consultation,617.27,2022-07-25
healthcare,chiropractor spinal adjustment,577.2,2022-08-08
healthcare,urgent care copay,355.54,2020-03-25
healthcare,health insurance premium,473.37,2023-10-06
healthcare,doctor's office visit,924.91,2023-01-24
healthcare,doctor's office visit,450.55,2022-09-09
healthcare,vaccination clinic fee,359.51,2022-10-14
healthcare,cvs pharmacy purchase,35.54,2023-01-19
healthcare,dentist cleaning appointment,194.83,2023-01-23
housing,mortgage payment,2739.15,2024-04-15
housing,electric company bill,2622.29,2023-04-30
housing,home depot paint purchase,3786.09,2024-12-07
housing,mortgage payment,652.91,2024-02-16
housing,lawn mowing service,1254.84,2023-03-31
housing,water utility payment,2818.72,2023-09-25
housing,water utility payment,284.38,2020-03-08
housing,home depot paint purchase,2249.6,2021-10-10
housing,property tax installment,3689.22,2022-08-11
housing,hvac repair service,2842.06,2022-05-21
housing,hvac repair service,1357.46,2023-01-11
housing,property tax installment,2930.48,2023-09-16
housing,mortgage payment,746.9,2021-10-11
housing,apartment monthly rent,2571.66,2023-05-28
housing,lawn mowing service,3790.25,2021-11-17
housing,water utility payment,2154.46,2022-10-26
housing,ikea new furniture,1432.24,2023-03-22
housing,mortgage payment,1958.09,2023-11-21
housing,home depot paint purchase,2674.08,2020-12-10
housing,ikea new furniture,1972.38,2024-06-16
housing,airbnb home maintenance,1818.71,2024-06-25
housing,hvac repair service,553.73,2024-09-09
housing,airbnb home maintenance,1476.57,2021-10-08
housing,home depot paint purchase,3526.13,2022-03-08
housing,apartment monthly rent,848.75,2024-10-23
housing,airbnb home maintenance,2700.71,2021-04-06
housing,lowe's hardware supplies,2030.69,2023-12-16
housing,mortgage payment,673.35,2020-10-14
housing,hvac repair service,3303.94,2024-09-22
housing,airbnb home maintenance,3349.03,2021-02-09
housing,ikea new furniture,1751.34,2020-02-16
housing,home depot paint purchase,3193.73,2020-11-24
housing,property tax installment,2315.7,2024-11-21
housing,garbage collection fee,1356.89,2022-08-02
housing,mortgage payment,80.71,2023-06-03
housing,mortgage payment,434.22,2023-04-01
housing,electric company bill,1311.47,2024-06-26
housing,lowe's hardware supplies,2153.84,2023-03-01
housing,home depot paint purchase,2549.87,2020-07-27
housing,hvac repair service,963.85,2023-12-05
housing,hvac repair service,1716.26,2021-02-27
housing,water utility payment,2476.48,2023-09-26
housing,lawn mowing service,2528.38,2024-11-29
housing,hvac repair service,2060.17,2021-04-30
housing,airbnb home maintenance,3969.36,2024-02-23
housing,property tax installment,3999.7,2021-05-31
housing,home depot paint purchase,2851.3,2024-07-25
housing,property tax installment,2289.77,2023-08-23
housing,lawn mowing service,2342.26,2024-01-10
housing,lowe's hardware supplies,2701.41,2020-12-02
housing,apartment monthly rent,3494.03,2024-02-17
housing,hvac repair service,186.13,2024-12-20
housing,mortgage payment,1900.61,2024-06-26
housing,electric company bill,2739.99,2021-05-29
housing,lowe's hardware supplies,241.85,2023-09-06
housing,apartment monthly rent,3752.82,2021-10-05
housing,lawn mowing service,173.71,2022-04-19
housing,apartment monthly rent,3636.1,2020-01-18
housing,ikea new furniture,2774.02,2021-12-12
housing,lowe's hardware supplies,281.87,2022-12-29
housing,garbage collection fee,3274.0,2020-07-14
housing,electric company bill,2689.17,2022-08-01
housing,home depot paint purchase,415.31,2023-08-16
housing,hvac repair service,3186.58,2020-04-28
housing,electric company bill,2655.84,2020-10-03
housing,garbage collection fee,3933.95,2023-08-30
housing,airbnb home maintenance,1809.55,2023-10-16
housing,electric company bill,402.58,2022-09-06
housing,home depot paint purchase,3123.26,2020-09-12
housing,property tax installment,3679.91,2022-11-13
housing,lowe's hardware supplies,444.66,2021-09-18
housing,water utility payment,2097.8,2020-06-11
housing,property tax installment,1634.63,2021-09-03
housing,lawn mowing service,1305.29,2021-11-23
housing,garbage collection fee,2947.33,2023-02-10
housing,mortgage payment,3834.02,2024-08-11
housing,apartment monthly rent,1975.76,2021-03-08
housing,electric company bill,2324.44,2020-03-17
housing,ikea new furniture,3234.29,2020-03-23
housing,water utility payment,1065.37,2020-07-14
housing,ikea new furniture,1532.57,2020-08-04
housing,apartment monthly rent,3639.88,2024-03-21
housing,ikea new furniture,3409.13,2024-03-09
housing,hvac repair service,3973.83,2021-07-08
housing,home depot paint purchase,594.63,2021-11-28
housing,apartment monthly rent,757.78,2020-02-02
housing,home depot paint purchase,131.57,2020-01-29
housing,garbage collection fee,617.49,2024-08-08
housing,property tax installment,913.58,2021-04-29
housing,home depot paint purchase,117.57,2020-01-20
housing,garbage collection fee,418.32,2022-09-17
housing,garbage collection fee,1515.6,2021-10-16
housing,water utility payment,663.96,2022-09-11
housing,garbage collection fee,3815.69,2024-12-03
housing,apartment monthly rent,3663.32,2024-01-04
housing,garbage collection fee,479.94,2021-01-19
housing,mortgage payment,3458.58,2021-04-22
housing,water utility payment,3936.39,2023-07-04
housing,hvac repair service,3436.25,2024-05-14
housing,apartment monthly rent,1153.37,2024-01-17
housing,mortgage payment,360.15,2022-04-08
housing,garbage collection fee,1275.2,2024-04-04
housing,garbage collection fee,2163.38,2021-02-25
housing,apartment monthly rent,3795.63,2021-03-01
housing,ikea new furniture,284.47,2023-04-19
housing,ikea new furniture,1459.27,2020-08-30
housing,home depot paint purchase,1960.23,2020-10-22
housing,lowe's hardware supplies,2329.66,2020-07-14
housing,airbnb home maintenance,1744.92,2024-08-23
housing,lawn mowing service,2346.75,2023-02-26
housing,property tax installment,346.08,2020-12-03
housing,apartment monthly rent,159.51,2020-07-07
housing,hvac repair service,3822.52,2023-10-12
housing,lawn mowing service,594.04,2022-09-28
housing,electric company bill,178.2,2024-05-25
housing,electric company bill,138.74,2024-03-08
housing,home depot paint purchase,814.79,2024-02-23
housing,airbnb home maintenance,1686.01,2022-01-12
housing,lawn mowing service,3912.9,2021-11-24
housing,lowe's hardware supplies,1691.61,2020-04-29
housing,apartment monthly rent,2014.95,2021-08-27
housing,mortgage payment,1118.73,2023-06-08
housing,property tax installment,154.65,2023-10-04
housing,apartment monthly rent,3667.35,2020-03-27
housing,lawn mowing service,3642.56,2021-09-23
housing,lowe's hardware supplies,458.15,2023-03-06
housing,lawn mowing service,3378.33,2022-06-07
housing,lowe's hardware supplies,1747.03,2020-04-08
housing,hvac repair service,1896.17,2024-08-22
housing,apartment monthly rent,1974.81,2021-10-11
housing,hvac repair service,3199.1,2024-02-01
housing,garbage collection fee,763.92,2023-11-27
housing,lowe's hardware supplies,2100.76,2020-01-06
housing,ikea new furniture,1345.98,2020-04-18
housing,garbage collection fee,1523.07,2021-05-12
housing,ikea new furniture,1076.94,2022-04-06
housing,water utility payment,3637.24,2020-11-29
housing,mortgage payment,3148.96,2022-11-24
housing,apartment monthly rent,2652.25,2024-03-03
housing,apartment monthly rent,2021.2,2023-10-25
housing,airbnb home maintenance,2696.49,2021-10-16
housing,property tax installment,1971.99,2022-10-26
housing,property tax installment,2901.17,2021-08-25
housing,mortgage payment,3924.18,2020-07-25
housing,water utility payment,3592.35,2023-11-09
housing,electric company bill,1813.28,2024-06-16
housing,apartment monthly rent,1395.74,2020-05-31
housing,hvac repair service,3083.84,2024-04-01
housing,airbnb home maintenance,3820.88,2021-02-11
housing,garbage collection fee,2408.51,2022-10-01
housing,property tax installment,2428.02,2020-12-18
housing,ikea new furniture,1711.33,2022-04-14
housing,property tax installment,2008.15,2022-02-19
housing,lowe's hardware supplies,2778.06,2024-01-22
housing,electric company bill,1844.51,2020-12-13
housing,lawn mowing service,3112.63,2024-04-03
housing,water utility payment,2140.02,2020-02-16
housing,mortgage payment,3815.72,2022-04-04
housing,garbage collection fee,2157.66,2023-12-07
housing,ikea new furniture,3792.38,2024-10-06
housing,airbnb home maintenance,764.8,2024-12-05
housing,apartment monthly rent,2581.01,2020-05-04
housing,mortgage payment,3495.35,2022-07-26
housing,hvac repair service,522.78,2023-05-01
housing,electric company bill,2285.1,2024-02-29
housing,mortgage payment,3128.67,2021-07-07
housing,lawn mowing service,1522.05,2023-02-06
housing,hvac repair service,3217.58,2024-10-13
housing,water utility payment,3807.86,2024-11-05
housing,property tax installment,3539.87,2021-03-12
housing,lawn mowing service,1421.15,2021-09-25
housing,garbage collection fee,1080.62,2024-05-06
housing,electric company bill,3241.05,2020-12-01
housing,ikea new furniture,3636.96,2021-06-01
housing,hvac repair service,1362.3,2024-04-01
housing,ikea new furniture,435.33,2022-01-27
housing,property tax installment,2170.12,2023-10-03
housing,apartment monthly rent,2387.83,2020-12-27
housing,ikea new furniture,309.29,2024-06-07
housing,hvac repair service,1200.87,2024-08-26
housing,garbage collection fee,3122.68,2020-03-20
housing,lawn mowing service,3056.54,2022-01-21
housing,water utility payment,2370.92,2020-10-21
housing,mortgage payment,1206.61,2020-04-27
housing,water utility payment,1206.09,2024-05-26
housing,water utility payment,2248.51,2023-06-03
housing,ikea new furniture,1212.33,2024-02-18
housing,hvac repair service,1730.83,2024-04-12
housing,lowe's hardware supplies,3087.5,2023-10-05
housing,property tax installment,560.15,2022-10-04
housing,airbnb home maintenance,2990.76,2020-11-18
housing,electric company bill,3302.48,2020-04-27
housing,ikea new furniture,226.76,2020-09-29
housing,home depot paint purchase,2668.74,2023-01-27
housing,home depot paint purchase,3333.67,2024-11-21
housing,electric company bill,558.43,2022-06-11
housing,water utility payment,2152.46,2023-08-09
housing,lawn mowing service,377.04,2023-10-04
housing,garbage collection fee,1175.87,2021-06-25
housing,home depot paint purchase,1067.64,2020-01-10
housing,property tax installment,3882.47,2020-03-17
housing,airbnb home maintenance,595.42,2021-05-07
housing,airbnb home maintenance,1226.7,2024-12-16
housing,hvac repair service,3470.39,2022-01-05
housing,mortgage payment,1511.01,2023-07-31
housing,home depot paint purchase,3135.88,2021-07-07
housing,hvac repair service,1193.18,2023-02-20
housing,ikea new furniture,2099.39,2021-11-18
housing,ikea new furniture,902.84,2020-10-25
housing,ikea new furniture,3735.38,2020-12-09
housing,apartment monthly rent,561.9,2022-07-18
housing,lowe's hardware supplies,1740.21,2024-04-05
housing,lawn mowing service,2650.22,2023-09-29
housing,garbage collection fee,1621.55,2023-08-12
housing,electric company bill,2115.29,2021-09-30
housing,water utility payment,1030.45,2020-01-03
housing,water utility payment,620.5,2022-11-03
housing,electric company bill,1414.68,2020-04-13
housing,ikea new furniture,3145.34,2021-06-22
housing,mortgage payment,92.68,2022-11-27
housing,lowe's hardware supplies,1843.66,2021-07-11
housing,electric company bill,1084.23,2023-06-17
housing,electric company bill,1555.02,2022-07-11
housing,water utility payment,2295.78,2020-07-23
housing,airbnb home maintenance,3617.42,2022-01-11
housing,property tax installment,2402.73,2023-03-18
housing,water utility payment,2716.04,2020-12-29
housing,mortgage payment,787.17,2022-01-28
housing,property tax installment,341.56,2023-04-11
housing,electric company bill,563.35,2020-04-07
housing,hvac repair service,2439.17,2023-05-13
housing,mortgage payment,512.46,2021-04-03
housing,electric company bill,744.32,2024-08-09
housing,mortgage payment,375.35,2020-09-24
housing,water utility payment,1391.31,2023-03-07
housing,ikea new furniture,3617.42,2023-10-04
housing,airbnb home maintenance,3874.87,2024-08-21
housing,apartment monthly rent,736.05,2023-12-09
housing,hvac repair service,3574.33,2020-07-18
housing,lowe's hardware supplies,2704.65,2022-07-30
housing,mortgage payment,3202.36,2022-04-23
housing,airbnb home maintenance,1653.01,2021-04-20
housing,lowe's hardware supplies,2823.63,2022-10-23
housing,lowe's hardware supplies,1534.41,2024-12-16
housing,lowe's hardware supplies,3392.32,2022-05-12
housing,home depot paint purchase,3223.42,2022-06-25
housing,mortgage payment,1466.25,2021-01-20
housing,electric company bill,539.12,2023-02-20
housing,lowe's hardware supplies,1534.52,2022-01-12
housing,apartment monthly rent,440.04,2022-03-03
housing,water utility payment,2779.84,2022-12-02
housing,airbnb home maintenance,3195.26,2021-10-10
housing,electric company bill,3278.88,2023-08-04
housing,airbnb home maintenance,530.55,2023-03-24
housing,airbnb home maintenance,1136.04,2021-04-20
housing,mortgage payment,3775.42,2021-01-09
housing,garbage collection fee,2176.13,2021-11-07
housing,apartment monthly rent,2539.48,2022-08-31
housing,electric company bill,2913.72,2021-05-27
housing,lowe's hardware supplies,666.54,2024-07-02
housing,home depot paint purchase,2987.68,2023-11-03
housing,garbage collection fee,542.48,2022-08-18
housing,apartment monthly rent,3038.85,2024-10-16
housing,airbnb home maintenance,1632.4,2022-10-01
housing,airbnb home maintenance,659.67,2023-06-11
housing,home depot paint purchase,815.83,2023-01-27
housing,airbnb home maintenance,1253.68,2020-05-28
housing,airbnb home maintenance,3800.8,2023-11-16
housing,airbnb home maintenance,2407.86,2022-09-04
housing,lowe's hardware supplies,2918.9,2023-03-09
housing,hvac repair service,2779.55,2020-12-26
housing,airbnb home maintenance,2554.79,2022-01-05
housing,mortgage payment,3695.83,2020-12-12
housing,apartment monthly rent,1588.75,2022-11-05
housing,lowe's hardware supplies,2851.15,2024-05-15
housing,property tax installment,1621.01,2022-04-02
housing,mortgage payment,2129.59,2022-11-27
housing,airbnb home maintenance,3654.72,2023-02-26
housing,ikea new furniture,972.24,2021-08-15
housing,mortgage payment,3318.86,2020-07-14
housing,garbage collection fee,860.71,2021-07-13
housing,home depot paint purchase,400.96,2024-12-08
housing,ikea new furniture,1201.59,2021-05-16
housing,home depot paint purchase,842.73,2020-05-01
housing,mortgage payment,1239.65,2020-08-21
housing,lawn mowing service,2890.7,2024-03-28
housing,ikea new furniture,3216.75,2023-02-11
housing,apartment monthly rent,986.12,2022-03-21
housing,ikea new furniture,2630.44,2023-07-15
housing,electric company bill,780.44,2021-09-27
housing,airbnb home maintenance,3046.98,2022-04-08
housing,apartment monthly rent,3608.74,2020-05-26
housing,property tax installment,1786.66,2022-09-09
housing,home depot paint purchase,1194.01,2021-03-04
housing,mortgage payment,2993.79,2023-12-02
housing,airbnb home maintenance,289.84,2020-12-10
housing,airbnb home maintenance,3150.67,2021-05-09
housing,property tax installment,2974.53,2022-09-11
housing,airbnb home maintenance,1263.63,2023-05-25
housing,hvac repair service,796.49,2022-04-27
entertainment,amusement park entry,113.51,2023-01-26
entertainment,bowling alley session,187.51,2024-10-18
entertainment,live concert ticketmaster,346.0,2024-06-14
entertainment,bowling alley session,158.56,2024-01-30
entertainment,bowling alley session,194.95,2023-07-16
entertainment,amusement park entry,47.83,2022-01-31
entertainment,netflix monthly subscription,99.12,2020-02-28
entertainment,spotify family plan,35.79,2022-05-16
entertainment,live concert ticketmaster,262.31,2023-07-02
entertainment,amusement park entry,308.14,2024-10-10
entertainment,spotify family plan,361.03,2020-01-20
entertainment,disney plus annual fee,294.57,2022-01-12
entertainment,playstation game purchase,34.96,2024-01-23
entertainment,bowling alley session,189.45,2024-11-18
entertainment,steam video game,138.32,2023-10-03
entertainment,playstation game purchase,373.01,2023-03-05
entertainment,playstation game purchase,208.51,2020-03-09
entertainment,amc movie ticket,109.72,2024-04-08
entertainment,steam video game,307.46,2022-04-01
entertainment,live concert ticketmaster,323.79,2023-09-19
entertainment,amc movie ticket,158.85,2023-09-17
entertainment,netflix monthly subscription,101.71,2023-07-08
entertainment,live concert ticketmaster,45.5,2023-01-23
entertainment,amc movie ticket,473.45,2021-03-01
entertainment,netflix monthly subscription,38.1,2024-10-23
entertainment,hulu ad-free plan,185.0,2022-09-14
entertainment,amc movie ticket,92.5,2021-06-04
entertainment,steam video game,494.03,2021-06-20
entertainment,netflix monthly subscription,130.85,2023-06-06
entertainment,disney plus annual fee,122.53,2021-07-16
entertainment,playstation game purchase,40.89,2023-11-02
entertainment,bowling alley session,101.91,2020-07-22
entertainment,virtual reality arcade,195.66,2024-02-05
entertainment,netflix monthly subscription,250.08,2023-02-14
entertainment,netflix monthly subscription,385.91,2022-05-09
entertainment,steam video game,144.68,2020-04-08
entertainment,playstation game purchase,89.61,2024-02-09
entertainment,amusement park entry,401.97,2022-12-24
entertainment,netflix monthly subscription,123.91,2024-09-20
entertainment,netflix monthly subscription,125.7,2020-01-12
entertainment,live concert ticketmaster,160.34,2023-08-18
entertainment,escape room experience,252.73,2020-01-17
entertainment,amusement park entry,330.92,2020-01-22
entertainment,disney plus annual fee,330.15,2023-02-12
entertainment,playstation game purchase,67.8,2021-07-02
entertainment,amc movie ticket,265.87,2021-01-13
entertainment,playstation game purchase,451.17,2023-09-27
entertainment,playstation game purchase,17.13,2021-09-14
entertainment,spotify family plan,9.96,2020-10-26
entertainment,virtual reality arcade,316.13,2024-06-15
entertainment,bowling alley session,290.02,2022-03-27
entertainment,disney plus annual fee,419.47,2023-01-31
entertainment,spotify family plan,96.53,2021-01-28
entertainment,escape room experience,202.94,2022-10-23
entertainment,hulu ad-free plan,263.71,2020-06-13
entertainment,netflix monthly subscription,45.4,2020-10-23
entertainment,bowling alley session,160.65,2021-07-12
entertainment,amc movie ticket,490.07,2020-12-18
entertainment,hulu ad-free plan,372.96,2021-06-13
entertainment,spotify family plan,5.12,2024-11-13
entertainment,spotify family plan,498.69,2023-05-05
entertainment,bowling alley session,6.39,2021-04-01
entertainment,escape room experience,36.35,2023-04-21
entertainment,virtual reality arcade,12.31,2023-08-13
entertainment,hulu ad-free plan,276.86,2022-06-21
entertainment,spotify family plan,468.32,2023-03-26
